Position.x;Position.y;Position.z;Rotation.x;Rotation.y;Rotation.z
0,4387631;0,8010523;0,6862032;345,9408;17,38022;359,061
0,4389491;0,8011227;0,6861944;345,9468;17,38618;359,053
0,4386408;0,8011208;0,6859501;345,9222;17,38299;359,0565
0,4386222;0,8011414;0,6859224;345,9206;17,37991;359,0558
0,4387839;0,801358;0,6860366;345,9377;17,38318;359,0546
0,4386568;0,8010763;0,6860172;345,9286;17,37935;359,0543
0,4386804;0,8010858;0,6860075;345,9285;17,3899;359,0439
0,4388314;0,801333;0,6861792;345,9442;17,38705;359,0544
0,4385704;0,8011552;0,6860601;345,9242;17,38353;359,0495
0,4385595;0,8011637;0,6860798;345,9286;17,38627;359,0479
0,4388024;0,8012722;0,6860266;345,9369;17,39474;359,0466
0,4389319;0,801388;0,6860765;345,9285;17,38412;359,0415
0,438942;0,8013864;0,6860828;345,9283;17,38915;359,0427
0,4389886;0,8016019;0,6862666;345,9404;17,3848;359,0519
0,4391577;0,8016046;0,6863889;345,9383;17,37597;359,0569
0,4391633;0,801623;0,6864239;345,9365;17,37785;359,0602
0,4390886;0,8017021;0,6863033;345,9219;17,375;359,0642
0,439082;0,8017201;0,6863196;345,9214;17,37251;359,0668
0,4390752;0,8017539;0,6863333;345,921;17,37119;359,0648
0,4390715;0,8016676;0,6861781;345,9148;17,38313;359,0537
0,4390622;0,8016843;0,6861829;345,9127;17,37921;359,0657
0,4390721;0,8016991;0,6861882;345,9149;17,38013;359,0617
0,4391897;0,8018538;0,6862777;345,9297;17,38094;359,0708
0,4394292;0,8019115;0,6864014;345,9286;17,38008;359,0675
0,4394463;0,8019329;0,6864097;345,9273;17,38206;359,064
0,4395424;0,8019788;0,6864233;345,9337;17,3852;359,0666
0,439568;0,8019842;0,686439;345,9339;17,38243;359,0642
0,4393289;0,8018938;0,6862924;345,9145;17,37763;359,0672
0,4393502;0,801907;0,6863112;345,9178;17,37973;359,067
0,4394552;0,8019433;0,6862952;345,9299;17,38476;359,066
0,4394827;0,8019648;0,6863015;345,9284;17,38687;359,0622
0,4396234;0,8019736;0,6863662;345,9226;17,38232;359,0649
0,4397062;0,8021612;0,6865377;345,9332;17,37949;359,0692
0,4397843;0,8020824;0,686599;345,9268;17,38362;359,0652
0,4399088;0,8021251;0,6865948;345,9319;17,38286;359,0644
0,4398177;0,8022717;0,6864491;345,9113;17,37976;359,0631
0,4398258;0,8022968;0,6864488;345,9077;17,37266;359,0589
0,4396273;0,8021296;0,6863441;345,9098;17,37945;359,0619
0,4396383;0,802142;0,6863488;345,9097;17,37797;359,0633
0,4396726;0,802158;0,6863431;345,9093;17,38231;359,0613
0,4395257;0,8019952;0,6863933;345,912;17,37746;359,0632
0,4395509;0,8020114;0,6864003;345,9145;17,38153;359,0604
0,4395692;0,8020408;0,6864185;345,9087;17,37981;359,0554
0,4396897;0,8020511;0,6864024;345,9265;17,39353;359,061
0,4396009;0,802085;0,6863229;345,9063;17,37811;359,0728
0,439628;0,8020986;0,6863237;345,9067;17,3804;359,063
0,4396367;0,8020504;0,6863948;345,9118;17,37984;359,0733
0,4396597;0,8020597;0,6864057;345,9101;17,37902;359,0697
0,4396671;0,8020637;0,6864264;345,9095;17,37445;359,0745
0,4395944;0,8021266;0,6864602;345,9077;17,36758;359,0796
0,4395986;0,8021361;0,6864804;345,9114;17,36459;359,0835
0,4396225;0,8021702;0,6864863;345,907;17,36996;359,0831
0,4394673;0,802021;0,6863627;345,9055;17,37113;359,0819
0,4394723;0,8020491;0,6863757;345,9038;17,36874;359,0813
0,4394838;0,8020685;0,6863793;345,9036;17,37147;359,0881
0,4395685;0,8020409;0,686383;345,9063;17,36934;359,0876
0,4395894;0,8020461;0,6863984;345,9085;17,3709;359,0883
0,439599;0,8020549;0,6864105;345,9072;17,36926;359,0879
0,4395566;0,8019946;0,6863788;345,914;17,36852;359,0957
0,4395744;0,8019876;0,6863912;345,9115;17,36778;359,0873
0,4395945;0,8019881;0,6864036;345,9108;17,36556;359,0948
0,43961;0,8019866;0,6863977;345,9189;17,36946;359,0967
0,4393705;0,8018108;0,6862575;345,903;17,36949;359,0932
0,4393692;0,8018014;0,6862531;345,9048;17,36492;359,0928
0,4395089;0,8018559;0,6863579;345,9115;17,36327;359,0907
0,4395193;0,8018572;0,6863616;345,9116;17,36115;359,0933
0,4395418;0,8018368;0,6863617;345,9139;17,36548;359,0923
0,4395974;0,8019349;0,6864545;345,9274;17,36357;359,0969
0,4393322;0,8018343;0,686293;345,9064;17,35891;359,0994
0,4393322;0,8018206;0,6862867;345,9052;17,36132;359,0977
0,4394695;0,80193;0,6863226;345,9172;17,36368;359,0975
0,4395113;0,8019187;0,6863145;345,9047;17,3594;359,0932
0,4395224;0,8019138;0,6863008;345,9015;17,36617;359,0861
0,4395781;0,8019871;0,6863659;345,9174;17,36483;359,0929
0,4395702;0,8019335;0,6863642;345,9094;17,35638;359,0907
0,4395648;0,8019089;0,6863641;345,9077;17,35652;359,0914
0,4396533;0,8019742;0,6864094;345,9176;17,36296;359,0849
0,4394038;0,8018366;0,6862608;345,8996;17,35614;359,0906
0,4393989;0,8018084;0,6862531;345,8994;17,35655;359,0946
0,4394488;0,8019384;0,6863726;345,9146;17,35577;359,0945
0,4394342;0,8018648;0,6863732;345,9059;17,35334;359,0904
0,4394273;0,8018445;0,6863702;345,9063;17,3555;359,0933
0,4394748;0,8019642;0,6864719;345,9157;17,35556;359,0976
0,4393723;0,8019478;0,6864214;345,8996;17,35113;359,1018
